escopo,estrategia,algoritmo,janela,dist_aeroporto,macro_f1_bal,macro_f1_nat,acc_bal,acc_nat,f1_nao_evento,f1_clima,f1_atraso,exp_id
3_classes,undersample_111,LightGBM,1h,True,0.956,0.9566,0.9562,0.9575,0.979,0.9533,0.9357,1
3_classes,undersample_111,FT-Transformer,1h,True,0.9525,0.9524,0.9525,0.953,0.9935,0.9328,0.9313,2
3_classes,undersample_111,TabTransformer,1h,True,0.9394,0.9387,0.9392,0.9393,0.9751,0.9259,0.9171,3
3_classes,undersample_111,LightGBM,1h,False,0.6317,0.6311,0.6328,0.6307,0.4757,0.6947,0.7247,4
3_classes,undersample_111,FT-Transformer,1h,False,0.5405,0.5394,0.6005,0.597,0.2231,0.693,0.7055,5
3_classes,undersample_111,TabTransformer,1h,False,0.5853,0.5827,0.6066,0.6024,0.3367,0.7231,0.6961,6
3_classes,pesos_completos,LightGBM,1h,True,0.9587,0.9594,0.959,0.9603,0.9799,0.9566,0.9397,7
3_classes,pesos_completos,FT-Transformer,1h,True,0.9483,0.949,0.9483,0.9498,0.9945,0.9272,0.9232,8
3_classes,pesos_completos,TabTransformer,1h,True,0.9355,0.9363,0.9361,0.9379,0.9643,0.9375,0.9045,9
3_classes,pesos_completos,LightGBM,1h,False,0.6385,0.6383,0.6398,0.6383,0.4776,0.7112,0.7265,10
3_classes,pesos_completos,FT-Transformer,1h,False,0.5866,0.5838,0.6433,0.6372,0.2614,0.7436,0.7547,11
3_classes,pesos_completos,TabTransformer,1h,False,0.625,0.6246,0.6528,0.6507,0.3708,0.7665,0.7375,12
clima_vs_atraso,undersample_111,LightGBM,1h,True,0.9517,0.9521,0.9517,0.9523,,0.9523,0.951,13
clima_vs_atraso,undersample_111,FT-Transformer,1h,True,0.9245,0.9238,0.9245,0.9238,,0.922,0.9269,14
clima_vs_atraso,undersample_111,TabTransformer,1h,True,0.9179,0.9169,0.9181,0.9169,,0.9146,0.9213,15
clima_vs_atraso,undersample_111,LightGBM,1h,False,0.9494,0.9497,0.9494,0.9498,,0.9496,0.9491,16
